email,label
"Congratulations you have won a free lottery claim now",spam
"Claim your free prize now click the link below",spam
"You have been selected for a special cash reward",spam
"Earn money quickly from home limited offer",spam
"Exclusive deal buy now and save big",spam
"Win a brand new phone today click here",spam
"Get cheap medicines without prescription",spam
"Limited time offer claim your bonus today",spam
"You are selected to receive a free gift card",spam
"Act now to receive your free reward",spam
"Urgent your account has won a reward click now",spam
"Cheap loans available apply today",spam
"Win big prizes by signing up today",spam
"You have been chosen for a free vacation",spam
"Earn thousands working from home",spam
"Claim your prize immediately before it expires",spam
"Get rich quick opportunity limited seats",spam
"Lowest prices on electronics buy today",spam
"Your number won the jackpot claim now",spam
"Free membership offer sign up today",spam
"Special promotion buy one get one free",spam
"Click here to receive your bonus reward",spam
"Get instant access to exclusive deals",spam
"Your loan has been approved apply now",spam
"Limited time discount on luxury products",spam
"Earn money easily without experience",spam
"You have won a free shopping voucher",spam
"Act fast to claim your special reward",spam
"Receive cash bonus today sign up now",spam
"Get premium access for free today",spam
"Win a free iPhone by completing this survey",spam
"Cheap luxury watches available now",spam
"Your account is eligible for a huge bonus",spam
"Earn passive income from home easily",spam
"Special promotion for selected users",spam
"Get rich quickly join this program now",spam
"You have won a free airline ticket",spam
"Exclusive investment opportunity act now",spam
"Claim your free cryptocurrency reward",spam
"Your email was selected for a prize",spam
"Big sale buy electronics at lowest prices",spam
"Get free coupons by signing up today",spam
"Earn extra income every day online",spam
"Free VIP membership claim today",spam
"Win exciting rewards by joining now",spam
"Limited time mega sale click now",spam
"Receive free samples of new products",spam
"Exclusive offer just for you claim today",spam
"Get instant loan approval today",spam
"Your lucky day claim your reward",spam
"Meeting scheduled with the project team tomorrow",ham
"Please review the attached document",ham
"Let's have lunch tomorrow afternoon",ham
"Reminder about the meeting at 3 pm",ham
"Please send the updated report by today",ham
"Can you call me when you are free",ham
"The presentation has been moved to next week",ham
"Please confirm your attendance for the meeting",ham
"Thank you for your help on the project",ham
"Let's discuss the plan in today's meeting",ham
"The report has been uploaded to the shared folder",ham
"Please check the latest updates in the document",ham
"Can you review the code changes",ham
"The client meeting has been postponed",ham
"Please update the spreadsheet before tomorrow",ham
"Looking forward to our meeting next week",ham
"The files have been attached for your reference",ham
"Please schedule a call with the design team",ham
"Thank you for the quick response",ham
"Can we reschedule the meeting to Friday",ham
"I will send the presentation shortly",ham
"The deadline for the task is tomorrow",ham
"Please share the project status update",ham
"Let's finalize the plan in the meeting",ham
"Please check the email from the manager",ham
"The team meeting will start at 10 am",ham
"Please review the project proposal",ham
"The document needs minor corrections",ham
"I will call you later today",ham
"Please confirm receipt of this email",ham
"The software update has been completed",ham
"Please submit the assignment by tonight",ham
"Let's catch up later this week",ham
"The schedule has been updated",ham
"Please send me the meeting notes",ham
"The system maintenance will happen tonight",ham
"Please approve the request when possible",ham
"I have shared the files with you",ham
"The conference starts tomorrow morning",ham
"Let's prepare the slides for the presentation",ham
"Please check the server status",ham
"I will update you once the task is done",ham
"Thank you for attending the meeting",ham
"Please let me know if you need help",ham
"The report looks good",ham
"I will review the document today",ham
"Please update the project timeline",ham
"The meeting agenda has been shared",ham
"Looking forward to working with you",ham
"Please confirm the appointment time",ham
"Congratulations! You won a free iPhone",spam
"Meeting tomorrow at 10 AM in conference room",ham
"Get cheap meds online now",spam
"Can you send me the report by today?",ham
"You have been selected for a cash prize",spam
"Lunch at 1 PM?",ham
"Win a free vacation to Bahamas now!",spam
"Please review the attached document",ham
"Cheap loans available, apply today",spam
"Project deadline extended to next week",ham
"Exclusive offer: Buy 1 get 1 free",spam
"Team outing scheduled for Friday",ham
"Limited time discount on electronics",spam
"Don't forget to submit your timesheet",ham
"Earn money from home easily",spam
"Are you available for a call tomorrow?",ham
"Congratulations, you are our lucky winner",spam
"Can you approve the leave request?",ham
"Get your free trial subscription now",spam
"Monthly report is attached",ham
"Win big cash prizes instantly",spam
"Schedule for next week is ready",ham
"Special promotion just for you",spam
"Can you send me the meeting notes?",ham
"Claim your free gift card today",spam
"Reminder: submit your expenses",ham
"Lowest prices on electronics",spam
"Let's discuss the project timeline",ham
"Congratulations! You have been selected",spam
"Team lunch planned for Wednesday",ham
"Hot singles in your area!",spam
"Please review the client feedback",ham
"Win a free shopping voucher",spam
"Meeting agenda attached",ham
"Get rich quickly with this method",spam
"Confirm your attendance for training",ham
"Exclusive deal: limited time offer",spam
"Can you review the draft?",ham
"Your account has won a prize",spam
"Prepare slides for the presentation",ham
"Cash reward waiting for you",spam
"Please send the updated document",ham
"Unlock special discounts now",spam
"Team call rescheduled to 3 PM",ham
"Earn $5000 per week from home",spam
"Don't forget to fill out the survey",ham
"Congratulations! Claim your reward",spam
"Project status update required",ham
"Special bonus for our subscribers",spam
"Can you check the budget report?",ham
"Limited time offer just for you",spam
"Let's finalize the client proposal",ham
"Win a free ticket to the concert",spam
"Send me the quarterly report",ham
"Make money online easily",spam
"Reminder: team meeting at 11 AM",ham
"Claim your instant cash prize",spam
"Please approve the new schedule",ham
"Exclusive access to premium deals",spam
"Team presentation scheduled for Friday",ham
"Earn money fast from home",spam
"Confirm meeting with the client",ham
"Congratulations! You've won a prize",spam
"Prepare agenda for the weekly call",ham
"Hot deals on travel packages",spam
"Send me the latest sales figures",ham
"Claim your reward card now",spam
"Team brainstorming session tomorrow",ham
"Get paid for completing simple tasks",spam
"Review the marketing strategy document",ham
"Free subscription available today",spam
"Don't forget to update your profile",ham
"Win exclusive gifts instantly",spam
"Please check the attached files",ham
"Make extra income online",spam
"Team meeting minutes attached",ham
"Congratulations! You've been selected",spam
"Confirm the project deadline",ham
"Special offer: buy electronics today",spam
"Send client proposal draft",ham
"Earn rewards easily online",spam
"Prepare presentation slides",ham
"Cash bonus available for you",spam
"Review the new policy document",ham
"Free trial subscription for premium service",spam
"Please attend the training session",ham
"Win big prizes instantly",spam
"Schedule team meeting for Monday",ham
"Make money from home quickly",spam
"Send me the project update",ham
"Claim your free voucher now",spam
"Review client feedback attached",ham
"Exclusive cash rewards for members",spam
"Prepare report for submission",ham
"Hot discounts on fashion items",spam
"Check team availability for meeting",ham
"Congratulations! You won a prize",spam
"Send presentation for review",ham
"Earn money online easily today",spam
"Confirm attendance for team call",ham
"Free gift card available now",spam
"Prepare slides for next meeting",ham
"Win a shopping spree instantly",spam
"Send financial report",ham
"Make extra cash from home",spam
"Review marketing plan attached",ham
"Claim your prize today",spam
"Prepare weekly report",ham
"Limited offer: free subscription",spam
"Check latest project updates",ham
"Earn fast money online",spam
"Send client feedback summary",ham
"Win free tickets to the event",spam
"Prepare agenda for next week",ham
"Exclusive deals on electronics",spam
"Team update: finalize budget",ham
"Claim cash rewards now",spam
"Please review contract draft",ham
"Hot sale on gadgets today",spam
"Prepare presentation for client",ham
"Congratulations! You've been selected",spam
"Send monthly report",ham
"Earn money with simple online tasks",spam
"Confirm training session timing",ham
"Win exclusive prizes today",spam
"Prepare project proposal",ham
"Free rewards for new subscribers",spam
"Check team tasks for tomorrow",ham
"Claim instant cash prize",spam
"Prepare financial summary",ham
"Make money online fast",spam
"Review latest client notes",ham
"Congratulations! You are our lucky winner",spam
"Send weekly update",ham
"Exclusive online offer available",spam
"Team meeting scheduled for Friday",ham
"Earn cash quickly from home",spam
"Check updated project plan",ham
"Win free gift cards instantly",spam
"Prepare client presentation",ham
"Hot deals on online shopping",spam
"Send minutes of the meeting",ham
"Claim bonus rewards now",spam
"Finalize team report",ham
"Make fast money online",spam
"Review marketing campaign",ham
"Congratulations! Claim your reward",spam
"Check training schedule",ham
"Limited time offer: free subscription",spam
"Send client proposal",ham
"Earn rewards online easily",spam
"Prepare slides for management review",ham
"Win cash prizes instantly",spam
"Confirm project completion",ham
"Exclusive deals on software today",spam
"Review quarterly performance",ham
"Claim free shopping voucher now",spam
"Prepare team agenda",ham
"Make money online in few days",spam
"Send presentation slides",ham
"Congratulations! You won exclusive prizes",spam
"Finalize client report",ham
"Earn money fast online today",spam
"Check weekly tasks",ham
"Win free membership instantly",spam
"Prepare financial report for submission",ham
"Hot offers on electronics today",spam
"Send minutes from team meeting",ham
"Claim instant reward card",spam
"Review budget proposal",ham
"Make extra income online easily",spam
"Prepare presentation for client review",ham
"Congratulations! Claim your free gift",spam
"Confirm team availability",ham
"Earn money from home quickly",spam
"Check latest project updates",ham
"Win big prizes now",spam
"Prepare slides for team meeting",ham
"Exclusive discount available today",spam
"Send weekly client update",ham
"Claim rewards now",spam
"Review team report",ham
"Hot deals on travel today",spam
"Prepare client presentation slides",ham
"Make fast money online easily",spam
"Send project update to manager",ham
"Congratulations! You are a winner",spam
"Check team schedule",ham
"Earn rewards from completing online tasks",spam
"Prepare financial summary report",ham
"Win free products instantly",spam
"Send client report",ham
